reviews,stars,date,country,status,corpus
"Not Verified | Having flown almost exclusely in business class for work travel paid for by my employer, the thought of 19+ hours in economy class from Delhi to Washington via Dubai filled me with dread. I was pleasantly surprised, however, by EK's economy product. While it is still economy and you can never 'go flat', I found Emirates' economy to be way better than United or Air Canada economy and, overall, offers solid hard and soft products. The seat is a decent size and has good legroom, again, compared to North American carriers. Catering was good with two full meals and a pizza or sandwich snack in between. Meal portions were good with plenty of variety. I was impressed by the 'engineering' of the economy meal tray with every conceivable space used to offer something. Every time I rang the call button, it was answered pleasantly. Washrooms were kept quite clean throughout both sectors. The ICE entertainment system offers tons of options. If paying out of my own pocket, I'd again chose EK economy.",1,2024-06-20,United States,False,verified flown almost exclusely business class work travel paid employer thought hour economy class delhi washington via dubai filled dread pleasantly surprised however ek economy product still economy never go flat found emirate economy way better united air canada economy overall offer solid hard soft product seat decent size good legroom compared north american carrier catering good two full meal pizza sandwich snack meal portion good plenty variety impressed engineering economy meal tray every conceivable space used offer something every time rang call button answered pleasantly washroom kept quite clean throughout sector ice entertainment system offer ton option paying pocket chose ek economy
"Not Verified |   Boarding started on time, the staff were friendly and hospitable despite some challenging behavior from some of the travelers. The cabin was clean and well kept. The food was served on time and was appetizing. The IFE worked well and their library of content was well curated. Overall a good experience.",5,2024-06-03,Canada,False,verified boarding started time staff friendly hospitable despite challenging behavior traveler cabin clean well kept food served time appetizing ife worked well library content well curated overall good experience
"✅ Trip Verified |  Emirates provides an option to purchase extra kilograms of luggage before the flight. However, the link they provide does not lead to any option that allows for pre-purchasing luggage. Instead, the link leads to options for seat or class upgrades, food selection, or flight charges. In other words, Emirates takes extra effort to hide the option to buy extra kilograms prior to check-in. Today, I faced an extra charge of £380 because I was not given the option to purchase extra kilograms in advance. I tried searching but could not find the actual link to buy extra luggage. There are much better options to fly. Will not use your bad service next time.",9,2024-06-01,Thailand,True,emirate provides option purchase extra kilogram luggage flight however link provide lead option allows pre purchasing luggage instead link lead option seat class upgrade food selection flight charge word emirate take extra effort hide option buy extra kilogram prior check today faced extra charge given option purchase extra kilogram advance tried searching could find actual link buy extra luggage much better option fly use bad service next time
"✅ Trip Verified |  The economy cabin in this airline is the worst in the world. Very rude flight attendants and crew. They only take care of higher levels, and other passengers, who are the majority of people in flight, are nothing to them. I was the gold member of this airline, and I stopped to fly with them. After 14 years, I tried to gain with minor hope for some changes, but it was worse than before. The crew's attitude on the ground and flights with economic passengers is unbelievable. It seems all of them are trained to deal with economy passengers like this. It is obviously not a chance for all of them to act like this with an insulting attitude.",9,2024-05-29,Canada,True,economy cabin airline worst world rude flight attendant crew take care higher level passenger majority people flight nothing gold member airline stopped fly year tried gain minor hope change worse crew attitude ground flight economic passenger unbelievable seems trained deal economy passenger like obviously chance act like insulting attitude
"✅ Trip Verified |  No service with customer service has been terrible. They simply do not care about passengers. My sister had to cancel her leg of trip due to a diagnosed blood disorder that was serious enough she could not travel far from her home, fly, sit for long periods etc. While she undergoes series of tests to figure out cause and how to help her, Emirates would not let her cancel her one way, outbound flight. The flight does not leave for 7 months. They feel she can rest up and be healed by the date of departure.  She does have a flexible economy ticket to make the cancellation. They claim medical reasons are not approved reasons for cancellation of most of ticket value. Trying to change the name so i can save the trip and take a friend instead? Nope! Out of the question says Emirates.",1,2024-05-29,United States,True,service customer service terrible simply care passenger sister cancel leg trip due diagnosed blood disorder serious enough could travel far home fly sit long period etc undergoes series test figure cause help emirate would let cancel one way outbound flight flight leave month feel rest healed date departure flexible economy ticket make cancellation claim medical reason approved reason cancellation ticket value trying change name save trip take friend instead nope question say emirate
"Not Verified | My first experience travelling First Class (using Qantas points) was pretty surreal. Having flown the best (and worst) of discount airlines and everything in between, this was something else. Just the sense that you're the only one on board and that you call the shots. It was other-worldly. I drank dom perignon for 7 hours, ate a lot of caviar and chatted to some lovely relaxed staff (after all, they only had four passengers to attend to). The 'suite' was large, comfortable and opulent. Of course it was... Even though it was a 777 (not a 380), there was an absolute sense of luxury. Not sure if I'll ever try/fly first class again, but it was worth the points and a lot of fun.",1,2024-05-28,Australia,False,verified first experience travelling first class using qantas point pretty surreal flown best worst discount airline everything something else sense one board call shot worldly drank dom perignon hour ate lot caviar chatted lovely relaxed staff four passenger attend suite large comfortable opulent course even though absolute sense luxury sure ever try fly first class worth point lot fun
"✅ Trip Verified |  Decent flights, but unremarkable. Service was polite but disengaged, with little attempt by crew to interact with passengers. Seats were comfortable, with good legroom. I thought the IFE was excellent, with some quality new releases to choose from. The meals were large and generous - I am a Qatar Airways frequent flyer, and the Emirates meals are significantly larger than those on Qatar. However, the alcohol options are far smaller on Emirates, and on both flights I was only offered a drink once per flight. It's been nearly 20 years since I last flew Emirates and feel they have lost their shine; whilst I thought they were decent, I feel they lack the polish and refinement of Qatar.",1,2024-05-27,Lebanon,True,decent flight unremarkable service polite disengaged little attempt crew interact passenger seat comfortable good legroom thought ife excellent quality new release choose meal large generous qatar airway frequent flyer emirate meal significantly larger qatar however alcohol option far smaller emirate flight offered drink per flight nearly year since last flew emirate feel lost shine whilst thought decent feel lack polish refinement qatar
"✅ Trip Verified | I fly a lot, but Emirates were my worst experiences ever. Most importantly, 2 out of 2 times I flew with them, I was delayed for multiple hours. The first time it was just sitting on the plane with no AC for 2 hours, and the second was 3+ hours, due to some trivial problem with their cabin lights. That 2nd time I had a connecting flight to catch, and while on board they assured me it would be fine, and while I did make it to the gate while they were still boarding, they refused to board me due to having apparently unilaterally decided to rebook me to a flight 11 hours later, assuming I wouldn't make it. Turns out there were earlier flights, but they wouldn't book me to them due to not codesharing with those airlines. Not only was no compensation offered for this day-long delay, but when I finally booked a separate flight on my own, they wouldn't even refund me, and had me request it on my own online. Overall they just showed 0 willingness to help throughout the entire process, despite it being 100% their fault, for a delay caused by them and between flights both of which they operated. They made it as painful as it possibly could be, every step of the way. Oh, and the flights themselves were also bad - old-looking airplanes, terrible food, and relatively limited entertainment. Emirates might have earned a positive reputation due to their First Class experience, but for Economy flights, it's probably the worst airline I've ever flown.",10,2024-05-26,Israel,True,fly lot emirate worst experience ever importantly time flew delayed multiple hour first time sitting plane ac hour second hour due trivial problem cabin light nd time connecting flight catch board assured would fine make gate still boarding refused board due apparently unilaterally decided rebook flight hour later assuming make turn earlier flight book due codesharing airline compensation offered day long delay finally booked separate flight even refund request online overall showed willingness help throughout entire process despite fault delay caused flight operated made painful possibly could every step way oh flight also bad old looking airplane terrible food relatively limited entertainment emirate might earned positive reputation due first class experience economy flight probably worst airline ever flown
"Not Verified |   Returning from France, travelling in Economy to Dubai, then Premium Economy from Dubai to Auckland. First row in economy, so no one in front of me.  Service and meals were very good. Only 6 hours over night so decided not to sleep on this sector. Watched a couple of movies. The plane seemed on the older side, so movie selection not as good it seemed. Visited the lounge in Dubai due to my Emirates status, which was very good. Shower very welcome and good coffee. Flight to Auckland in Premium Economy a big step up from Economy. Seat very comfortable with loads of legroom, good recline and leg/foot rest. Slept for about 9 hours out of 15 hours. Service was friendly, professional and thorough buy a charming young British chap called Zak. Meals were delicious, hot towels etc. Entertainment was more extensive, although only watched 1 movie, as I wanted to sleep. Arrived half an hour early in Auckland. First off the plane and land side in less than 30 minutes.",7,2024-05-23,New Zealand,False,verified returning france travelling economy dubai premium economy dubai auckland first row economy one front service meal good hour night decided sleep sector watched couple movie plane seemed older side movie selection good seemed visited lounge dubai due emirate status good shower welcome good coffee flight auckland premium economy big step economy seat comfortable load legroom good recline leg foot rest slept hour hour service friendly professional thorough buy charming young british chap called zak meal delicious hot towel etc entertainment extensive although watched movie wanted sleep arrived half hour early auckland first plane land side le minute
"✅ Trip Verified | Emirates is plummeting downhill! Business class but no fast track, no lounge, no information, nobody to speak with! Such a shame that what was once a great airline now barely makes ‘good’, and that only because the cabin crew are the best...the rest are simply awful!",1,2024-05-13,Saudi Arabia,True,emirate plummeting downhill business class fast track lounge information nobody speak shame great airline barely make good cabin crew best rest simply awful
"Not Verified |   On 3/9/2024, I transferred more than 300,000 points from Chase Ultimate Reward to Emirates Skywards account for First Class miles redemption for a flight from Seattle to Thailand. Shortly after that, Skywards locked my account, indicating it's due to ""a routine review."" However, after more than a few weeks, my account was still under ""a routine review."" That's when I started making a call to their customer service, but all they can do is sending an email to the internal team and told me to do the same, which I did ... but no response whatsoever from the internal team. Subsequent calls to the customer services and after hours of explaining, arguing, pleading yield the same outcome (or lack thereof.) The customer service agents were not willing to escalate the issue for us even though they knew that this issue has been going on way longer than their normal timeline. they did not try to help you in any way regardless of how bad the situation is. There was one one time after we pushed so hard to get to talk to their supervisor but even him would not try to help you anyway. Their entire customer service is there just to serve their internal team, not their customers. It has been almost three months now and my account is still under ""a routine review"". What supposes to be a dream trip has since becomes one of my worst nightmares. The customer service agents said the reward miles are valid for 3 years so nothing to be worried about, but how would it matter if my travel plan window is already passed - and at this rate who knows whether they will complete the ""routine review"" of my account within 3 years. All I want at this point is for the precious points I have been saving up all these years to go back to my Chase Ultimate Reward account and wake up from this nightmare.",10,2024-05-12,United States,False,verified transferred point chase ultimate reward emirate skywards account first class mile redemption flight seattle thailand shortly skywards locked account indicating due routine review however week account still routine review started making call customer service sending email internal team told response whatsoever internal team subsequent call customer service hour explaining arguing pleading yield outcome lack thereof customer service agent willing escalate issue u even though knew issue going way longer normal timeline try help way regardless bad situation one one time pushed hard get talk supervisor even would try help anyway entire customer service serve internal team customer almost three month account still routine review supposes dream trip since becomes one worst nightmare customer service agent said reward mile valid year nothing worried would matter travel plan window already passed rate know whether complete routine review account within year want point precious point saving year go back chase ultimate reward account wake nightmare
"✅ Trip Verified | I have a business class ticket for 3 flights AMS - SGP (Business Saver) SGP - DBX (Flex Plus)$$ DBX - AMS (Flex Plus)$$ Conditions for Flex plus as per webiste states: ""Flex Plus fare A Flex Plus fare is a totally flexible and unrestricted fare"". I'm 2 days before first departure. I want to change the 3rd flight. My ""Flex Plus"" doesn't apply anymore since they will reissue all 2 flights and the first one is Business Saver. They want to charge me 900€ to upgrade the 1st one, then 300€ change fee. In other words, if ""any"" of your flights is saver, ""none of them"" are Plus anymore. I feel scammed.",3,2024-05-09,Netherlands,True,business class ticket flight am sgp business saver sgp dbx flex plus dbx am flex plus condition flex plus per webiste state flex plus fare flex plus fare totally flexible unrestricted fare day first departure want change rd flight flex plus apply anymore since reissue flight first one business saver want charge upgrade st one change fee word flight saver none plus anymore feel scammed
"✅ Trip Verified |   Traveled from Dhaka to Lyon via Dubai in June 2023. Seat quality was average, food was also average, cabin crew were good. Ground services were slow. Flight was not bad but the layover at Dubai Airport was boring.",5,2024-05-07,Bangladesh,True,traveled dhaka lyon via dubai june seat quality average food also average cabin crew good ground service slow flight bad layover dubai airport boring
"✅ Trip Verified |  I’ve flown Emirates a few times. I love the food but the flight attendants on all my flights were unfriendly and rude. Many of them are acting like they are doing us a favor by serving us, even though that’s their job. On May 5, I flew from Tokyo to Dubai and most likely it was my last flight with the Emirates. Especially a flight attendant who was very unfriendly and also skipped our line while serving food. She was unfriendly with everyone.  She seems to be hating her job. Apart from the flight attendants, one other thing I am not happy about is the delays. In my experience, Emirates never departs and arrives on time, there is always a delay.",1,2024-05-07,Ireland,True,flown emirate time love food flight attendant flight unfriendly rude many acting like u favor serving u even though job may flew tokyo dubai likely last flight emirate especially flight attendant unfriendly also skipped line serving food unfriendly everyone seems hating job apart flight attendant one thing happy delay experience emirate never departs arrives time always delay
"✅ Trip Verified |  I have just collected my bag after a horrendous Emirates flight where the passenger next to me was intoxicated and assaulted me on the flight. The crew had to write a report as she should have not been allowed boarding. My bag is completely soaked through, all contents of the bag is soaking. I spoke to the ground staff and they could offer no help what so ever or a report. Everything is ruined - I am furious, I’ve had no communication regarding my outbound flights that were cancelled due to the storms and now my luggage is ruined. I will never fly Emirates again.",1,2024-05-06,United Kingdom,True,collected bag horrendous emirate flight passenger next intoxicated assaulted flight crew write report allowed boarding bag completely soaked content bag soaking spoke ground staff could offer help ever report everything ruined furious communication regarding outbound flight cancelled due storm luggage ruined never fly emirate
"Not Verified |   Seats were very comfortable, very polite staff but the food quality has gone down significantly. Tasteless and overcooked. Not what it used to be when it was first launched.",6,2024-04-30,Spain,False,verified seat comfortable polite staff food quality gone significantly tasteless overcooked used first launched
"✅ Trip Verified |  Inbound flight to DXB was 16 years old A6-EWC 777-200 refurbished cabin which is comfortable. Cabin crew reflect good training, collaborative. Food is standard like others, did not use IFE during flight. Connected in Dubai for less than 30 minutes and disembarked to bus then terminal and surprisingly my luggage arrived to terminal destination.",2,2024-04-29,Saudi Arabia,True,inbound flight dxb year old ewc refurbished cabin comfortable cabin crew reflect good training collaborative food standard like others use ife flight connected dubai le minute disembarked bus terminal surprisingly luggage arrived terminal destination
"Not Verified |   Emirates left thousands of passengers stranded for up to 3 days in Dubai airport, some with children with no help or explanation. They have no contingency for rain and no interest in human care. They have provided no compensation for the impacted passengers. They claim that missing luggage was also due to the rain, they provide no help when things get tough and I will never be flying with them again. They also required me to fill out a medical form to board and they took zero notice of my one requirement (more drinking water than average) and, despite being able bodied, would not allow me to purchase the bulkhead seats after having spoken to me in person (a fit and healthy 35 year old with just a touch of hydrocephalus) due to the fact, and I’m quoting here I’m “disabled.”",1,2024-04-28,United Kingdom,False,verified emirate left thousand passenger stranded day dubai airport child help explanation contingency rain interest human care provided compensation impacted passenger claim missing luggage also due rain provide help thing get tough never flying also required fill medical form board took zero notice one requirement drinking water average despite able bodied would allow purchase bulkhead seat spoken person fit healthy year old touch hydrocephalus due fact quoting disabled
"✅ Trip Verified |  Boarding fast despite seemingly full airplane. FA good and attentive. Departure delayed by 30 minutes. Outdated seat you need to press button 100 times to go to flat. Food quality is average. Internet not working, I have to spend time trying and trying. Bathrooms are clean however it was at the back of the airplane, front bathroom kept for first class, and every time i went i found 3-4 waiting, Toothbrush not available.",4,2024-04-28,Saudi Arabia,True,boarding fast despite seemingly full airplane fa good attentive departure delayed minute outdated seat need press button time go flat food quality average internet working spend time trying trying bathroom clean however back airplane front bathroom kept first class every time went found waiting toothbrush available
"✅ Trip Verified | My friend and I were scheduled to fly from Prague to Bangkok on 18 Apr. The flight was delayed 4 times. We arrived 2.30 hours before departing time. After 1.30 hour wait and 2 very disorganized check-in counter change, the counter stopped taking in passenger. No explanation from the staff. We found out from a fellow passenger that the flight was not confirmed. I tried calling and contacting them online but both channels were too busy. We finally went to talk to the staff who couldn't confirm when we will be flying out. They told us that they could not confirm about our connecting flight in Dubai to Bangkok too. A two-to-three-days wait was probable. We finally had to cancel the flight and bought a new last-minute ticket from Qatar to get back home. We tried to get compensation on extra hotel charge and airfares but the airline is not taking any responsibility. Extremely poor management and definitely no sense of responsibility from the airline.",7,2024-04-26,Thailand,True,friend scheduled fly prague bangkok apr flight delayed time arrived hour departing time hour wait disorganized check counter change counter stopped taking passenger explanation staff found fellow passenger flight confirmed tried calling contacting online channel busy finally went talk staff confirm flying told u could confirm connecting flight dubai bangkok two three day wait probable finally cancel flight bought new last minute ticket qatar get back home tried get compensation extra hotel charge airfare airline taking responsibility extremely poor management definitely sense responsibility airline
"✅ Trip Verified |  My sister and I travelled to Toronto via KLIA on 20th March 2024. The services were top notch. We travelled by economy class but were treated nicely by the stewardess. The food was great and we were fed quite frequently. When coming back on 4th April, we had a bad experience due to mistake done by Air Canada since we had 2 layovers and one of the layover had to travel via Air Canada.",1,2024-04-26,Malaysia,True,sister travelled toronto via klia th march service top notch travelled economy class treated nicely stewardess food great fed quite frequently coming back th april bad experience due mistake done air canada since layover one layover travel via air canada
"✅ Trip Verified |  As someone from the service industry as an Operations Manager, it is rather appalling the standard for this experience. Not only did the person attending our aisle forgotten our drink requests once, but twice! One of which i also have to take the drink order myself. Not only that, the flight attendant didn’t apologise on both occasions which are of different time stamps, that’s a poor representative of the airline and i believe this is rather basic. Moreover and unfortunately, screen on the seat was blank and was requesting assistance to resolve it. Was reassured that it will be troubleshoot in 10-15 minutes. Guess what? Wasn’t resolve throughout the remaining of the flight. And also, i believe it’s basic to walk down the aisle once in awhile at your respective section to check-in with the guests to see everything is alright and needs immediate attention, but am noticing a pattern on both occasions, to and fro Dubai and Singapore. Seems like they only service during food and drinks, then hide back in the staff area.",6,2024-04-22,Singapore,True,someone service industry operation manager rather appalling standard experience person attending aisle forgotten drink request twice one also take drink order flight attendant apologise occasion different time stamp poor representative airline believe rather basic moreover unfortunately screen seat blank requesting assistance resolve reassured troubleshoot minute guess resolve throughout remaining flight also believe basic walk aisle awhile respective section check guest see everything alright need immediate attention noticing pattern occasion fro dubai singapore seems like service food drink hide back staff area
"✅ Trip Verified |  Great airplane, service and staff, especially when flying on the A380 with the bar.  The seat is comfortable, crew is friendly and professional. The aircraft is clean. However the catering is a little disappointing. For such an expensive ticket I was expecting far better to be honest.",1,2024-04-21,United Arab Emirates,True,great airplane service staff especially flying bar seat comfortable crew friendly professional aircraft clean however catering little disappointing expensive ticket expecting far better honest
"✅ Trip Verified |  True color of organisation is discovered when time of need arise, and Emirates capability is discovered. Never fly Emirates again, do not recommend anyone to travel on Emirates - you will be left to dry. I checked onto EK421 with a 20 kg checked bag on 18th March from Perth Airport. Arrived at Dubai airport on the 19th morning, as of today after 3 days of being me hostage at Dubai airport - there's no information from Emirates airport staff on anything, no worry about my dietary needs, my medical needs, sorry about my personal & business plan). I am not allowed to access my essential needs & medication from checked-bag and they would not put me on to my next connecting flight. At Dubai Airport Emirates staff directed me and others to continuously watch out for the Gate number on the screen as the flight would be listed there (but they won't tell when), I and others kept waiting for hours for the flight to appear, they appear without gates, stay listed there and then gets canceled. Clearly Emirates are just listing ghost flights so they don't need to provide a hotel. I am now on airport for more than 36 hours, no hotel provided, no vegetarian food available, I now almost three days in the same pair of clothing, and my medication & other essentials are in a checked-in bag that Emirates staff don't even care and tell me anything on when it will be returned to me. Their pretext that this is due to rain is just made up, as of last few days Dubai has returned to normal, for sure essential airport services there shouldn't be hold up and the excuse of weather event is just hiding their lack of management ability.",5,2024-04-21,Australia,True,ue color organisation discovered time need arise emirate capability discovered never fly emirate recommend anyone travel emirate left dry checked onto ek kg checked bag th march perth airport arrived dubai airport th morning today day hostage dubai airport information emirate airport staff anything worry dietary need medical need sorry personal business plan allowed access essential need medication checked bag would put next connecting flight dubai airport emirate staff directed others continuously watch gate number screen flight would listed tell others kept waiting hour flight appear appear without gate stay listed get canceled clearly emirate listing ghost flight need provide hotel airport hour hotel provided vegetarian food available almost three day pair clothing medication essential checked bag emirate staff even care tell anything returned pretext due rain made last day dubai returned normal sure essential airport service hold excuse weather event hiding lack management ability
✅ Trip Verified |  Horrible service from start to finish. 6 hours delay. No communication. Unable ground staff and very rude. Lost baggage. I could spend hours making list of the problems. Will definitely change airline.,7,2024-04-20,France,True,horrible service start finish hour delay communication unable ground staff rude lost baggage could spend hour making list problem definitely change airline
